id_parque|nombre|descripcion|ubicacion|tamanio|img|lat|lon
1|Aigüestortes i Estany de Sant Maurici|Su principal seña de identidad corresponde a los más de 200 lagos o estanys, a los impresionantes riscos de "Els Encantats" y a sus característicos meandros de alta montaña (las aigüestortes). Es un verdadero paraíso para los amantes de la naturaleza: lagos, torrentes, cascadas, turberas, canchales, agrestes picos y frondosos bosques de pino negro, abeto, pino silvestre, abedul y haya, constituyen el hogar de multitud de interesantes plantas y fascinantes animales de origen alpino o boreal.|Pirineo Catalán (Lleida)|14.119|https://raw.githubusercontent.com/MssMunroe/Bosquea/refs/heads/main/frontend/web/assets/img/Aig%C3%BCestortes%20i%20Estany%20de%20Sant%20Maurici.jpeg|42.5816|0.9672
2|Archipiélago de Cabrera|En este Parque, predominan los arbustos leñosos de hoja coriácea y pequeña, formadores de la garriga, matorral perfectamente adaptado a los rigores del clima mediterráneo, existen varios endemismos: astrágalo de las Baleares, tragamoscas, hipericón balear, etc. Constituye un importante punto de escala en la ruta migratoria de más de 150 especies de aves.|Islas Baleares (Mallorca)|90.800|https://raw.githubusercontent.com/MssMunroe/Bosquea/refs/heads/main/frontend/web/assets/img/Archipi%C3%A9lago%20de%20Cabrera.jpeg|39.1436|2.9301
3|Cabañeros|Situada en pleno corazón de los Montes de Toledo. El 28 de abril de 1995 es declarada Parque Nacional. Destaca por su paisaje de "rañas" (llanuras) y bosque mediterráneo, siendo refugio de grandes rapaces y ungulados.|Castilla-La Mancha (Ciudad Real / Toledo)|40.856|https://raw.githubusercontent.com/MssMunroe/Bosquea/refs/heads/main/frontend/web/assets/img/Caba%C3%B1eros.jpeg|39.3986|-4.4853
4|Caldera de Taburiente|Enorme circo de 8 km de diámetro con aspecto de caldera, donde múltiples erupciones volcánicas y la fuerza erosiva del agua han ido modelando su geomorfología, convirtiéndola en un escarpado paisaje con casi 2.000 m de desnivel.|Isla de La Palma (Canarias)|4.690|https://raw.githubusercontent.com/MssMunroe/Bosquea/refs/heads/main/frontend/web/assets/img/Caldera%20de%20Taburiente.jpeg|28.7166|-17.8666
5|Doñana|El Parque Nacional de Doñana es un mosaico de ecosistemas que albergan una biodiversidad única en Europa. Destaca sobre todo la marisma, de extraordinaria importancia como lugar de paso, cría e invernada para miles de aves europeas y africanas.|Andalucía (Huelva / Sevilla / Cádiz)|54.252|https://raw.githubusercontent.com/MssMunroe/Bosquea/refs/heads/main/frontend/web/assets/img/Do%C3%B1ana.jpeg|36.9922|-6.4333
6|Garajonay|Garajonay es la muestra mejor conservada del ecosistema de laurisilva canaria, un bosque relicto del Terciario. Destaca por su diversidad vegetal, gran número de especies endémicas y espectaculares monumentos geológicos como los Roques.|Isla de La Gomera (Canarias)|3.984|https://raw.githubusercontent.com/MssMunroe/Bosquea/refs/heads/main/frontend/web/assets/img/Garajonay.jpeg|28.1261|-17.2136
7|Islas Atlánticas de Galicia|Desde la ría de Arousa hasta la de Vigo se encadenan estas islas de gran riqueza ecológica. Los acantilados, los matorrales, las dunas y las playas, así como los fondos marinos, crean un gran mosaico de ecosistemas.|Galicia (archipiélagos de Cíes / Ons / Sálvora / Cortegada)|8.480|https://raw.githubusercontent.com/MssMunroe/Bosquea/refs/heads/main/frontend/web/assets/img/Islas%20Atl%C3%A1nticas%20de%20Galicia.jpeg|42.2267|-8.9333
8|Monfragüe|Verdadero santuario para observar aves. Todos los años, miles de turistas llegan para disfrutar del vuelo de cigüeñas negras, alimoches, buitres o la rarísima águila imperial sobre el paisaje del río Tajo.|Extremadura (Cáceres / Badajoz)|18.396|https://raw.githubusercontent.com/MssMunroe/Bosquea/refs/heads/main/frontend/web/assets/img/Monfrag%C3%BCe.jpeg|39.8419|-6.0461
9|Ordesa y Monte Perdido|Valles espectaculares como Añisclo, Escuaín y Pineta, coronados por las alturas del Monte Perdido. Es Patrimonio de la Humanidad por la Unesco y Reserva de la Biosfera.|Pirineo Aragonés (Huesca)|15.696|https://raw.githubusercontent.com/MssMunroe/Bosquea/refs/heads/main/frontend/web/assets/img/Ordesa%20y%20Monte%20Perdido.jpeg|42.6719|0.0528
10|Picos de Europa|La mayor formación caliza de la Europa Atlántica. Entre sus riscos habita el rebeco, en los bosques lobos y presencia ocasional de osos. Posee importantes procesos cársticos y cumbres míticas para el montañismo.|Asturias (Cantabria y Castilla y León)|67.127|https://raw.githubusercontent.com/MssMunroe/Bosquea/refs/heads/main/frontend/web/assets/img/Picos%20de%20Europa.jpeg|43.1906|-4.8322
11|Sierra de Guadarrama|Refugio de biodiversidad con circos y lagunas glaciares y roquedos graníticos. Destacan sus ecosistemas de alta montaña y los extensos pinares de pino albar.|Comunidad de Madrid / Castilla y León|33.960|https://raw.githubusercontent.com/MssMunroe/Bosquea/refs/heads/main/frontend/web/assets/img/Sierra%20de%20Guadarrama.jpeg|40.7917|-3.9858
12|Sierra Nevada|Sistemas naturales ligados a la media y alta montaña mediterránea. Alberga las cumbres más altas de la Península Ibérica y una flora única con multitud de endemismos adaptados al frío extremo.|Andalucía (Granada y Almería)|85.883|https://raw.githubusercontent.com/MssMunroe/Bosquea/refs/heads/main/frontend/web/assets/img/Sierra%20Nevada.jpeg|37.0519|-3.3106
13|Tablas de Daimiel|Último representante del ecosistema denominado tablas fluviales, producido por los desbordamientos de los ríos Guadiana y Gigüela. Es un humedal fundamental para la avifauna migratoria.|Castilla-La Mancha (Ciudad Real)|3.030|https://raw.githubusercontent.com/MssMunroe/Bosquea/refs/heads/main/frontend/web/assets/img/Tablas%20de%20Daimiel.jpeg|39.1353|-3.6908
14|Teide|El pico más alto de España y uno de los monumentos geológicos más impresionantes del mundo. Formado por volcanes, coladas de lava y la enorme caldera volcánica del Circo de Las Cañadas.|Isla de Tenerife (Canarias)|18.990|https://raw.githubusercontent.com/MssMunroe/Bosquea/refs/heads/main/frontend/web/assets/img/Teide.jpeg|28.2723|-16.6425
15|Timanfaya|Paisajes volcánicos que parecen recién nacidos. Aunque aparentemente desolados, estos abruptos paisajes de lavas basálticas y lapillis albergan una gran riqueza biológica y numerosos endemismos.|Isla de Lanzarote (Canarias)|5.108|https://raw.githubusercontent.com/MssMunroe/Bosquea/refs/heads/main/frontend/web/assets/img/Timanfaya.jpeg|29.0011|-13.7844
16|Sierra de las Nieves|Se localiza en la porción más elevada de la Serranía de Ronda, con el Pico Torrecilla. Destaca por poseer los bosques de pinsapos más extensos de la península y un relieve de gran complejidad geológica.|Andalucía (Málaga)|22.979|https://raw.githubusercontent.com/MssMunroe/Bosquea/refs/heads/main/frontend/web/assets/img/Sierra%20de%20las%20Nieves.jpeg|36.6892|-4.9961
